Category,Service,Unit,POC (Local),POC Unit Cost,POC Monthly Cost,MVP (100 users),MVP Unit Cost,MVP Monthly Cost,Production (1000 users),Production Unit Cost,Production Monthly Cost,Notes
Infrastructure,Local Development,Laptop,1 laptop,Free,$0,N/A,N/A,N/A,N/A,N/A,N/A,Developer workstation
Containers,Docker Compose,Local,All services,Free,$0,N/A,N/A,N/A,N/A,N/A,N/A,Local orchestration
Containers,Cloud Run,vCPU-hours,N/A,N/A,$0,500,~$0.024/vCPU-hr,$12,3000,~$0.024/vCPU-hr,$72,Serverless container hosting
Containers,Cloud Run,Memory GB-hours,N/A,N/A,$0,1000,~$0.0025/GB-hr,$2.50,6000,~$0.0025/GB-hr,$15,Memory allocation
Containers,Artifact Registry,Storage GB,N/A,N/A,$0,10,~$0.10/GB,$1,20,~$0.10/GB,$2,Docker image storage
AI/ML,Claude 3.5 Sonnet,Input tokens (M),1.5,~$3/M tokens,$4.50,20,~$3/M tokens,$60,150,~$3/M tokens,$450,Documentation + Chart Review (POC: 80% mocked)
AI/ML,Claude 3.5 Sonnet,Output tokens (M),0.5,~$15/M tokens,$7.50,5,~$15/M tokens,$75,40,~$15/M tokens,$600,Generated content
AI/ML,Gemini 1.5 Pro,Input tokens (M),3,~$1/M tokens,$3,10,~$1/M tokens,$10,80,~$1/M tokens,$80,Analytics queries + lightweight tasks
AI/ML,Gemini 1.5 Pro,Output tokens (M),0.5,~$2.50/M tokens,$1.25,2,~$2.50/M tokens,$5,15,~$2.50/M tokens,$37.50,Query responses
AI/ML,text-embedding-3,Embedding tokens (M),0.5,~$0.13/M tokens,$0.07,5,~$0.13/M tokens,$0.65,30,~$0.13/M tokens,$3.90,Vector embeddings
AI/ML,Qdrant (Docker),Storage GB,5,Free,$0,N/A,N/A,N/A,N/A,N/A,N/A,Self-hosted vector DB
AI/ML,Vertex AI Vector Search,Storage GB,N/A,N/A,$0,50,~$0.30/GB/mo,$15,100,~$0.30/GB/mo,$30,Managed vector search
Data Storage,HAPI FHIR (Docker),Storage GB,5,Free,$0,N/A,N/A,N/A,N/A,N/A,N/A,Open source FHIR server
Data Storage,Healthcare API (FHIR),Storage GB,N/A,N/A,$0,100,~$0.05/GB/mo,$5,500,~$0.05/GB/mo,$25,PHI-compliant FHIR store
Data Storage,PostgreSQL (Docker),Storage GB,10,Free,$0,N/A,N/A,N/A,N/A,N/A,N/A,Self-hosted database
Data Storage,Cloud SQL PostgreSQL,Instance,N/A,N/A,$0,1 instance (db-n1-standard-1),~$50/mo,$50,1 instance (db-n1-standard-2),~$150/mo,$150,Managed database
Data Storage,Redis (Docker),Memory GB,1,Free,$0,N/A,N/A,N/A,N/A,N/A,N/A,Self-hosted cache
Data Storage,Memorystore Redis,Instance,N/A,N/A,$0,1GB instance,~$40/mo,$40,5GB instance,~$180/mo,$180,Managed Redis cache
Data Storage,Local volumes,Storage GB,10,Free,$0,N/A,N/A,N/A,N/A,N/A,N/A,Local file storage
Data Storage,Cloud Storage,Storage GB,N/A,N/A,$0,50,~$0.02/GB,$1,250,~$0.02/GB,$5,Cloud object storage
Data Storage,BigQuery,Storage GB,N/A,N/A,$0,100,~$0.02/GB,$2,500,~$0.02/GB,$10,Analytics warehouse
Data Storage,BigQuery,Query TB processed,N/A,N/A,$0,0.5,~$5/TB,$2.50,3,~$5/TB,$15,Analytics queries
Message Queue,RabbitMQ (Docker),Instance,1,Free,$0,Keep open source,Free,$0,Keep open source,Free,$0,Self-hosted message queue
Frontend,Local hosting,Localhost,1,Free,$0,N/A,N/A,N/A,N/A,N/A,N/A,Development server
Frontend,Cloud CDN,Cache egress GB,N/A,N/A,$0,200,~$0.08/GB,$16,1500,~$0.08/GB,$120,Content delivery
Frontend,Cloud CDN,Cache fill GB,N/A,N/A,$0,50,~$0.04/GB,$2,300,~$0.04/GB,$12,Origin to cache transfer
Backend,Cloud Endpoints,API calls (M),N/A,N/A,$0,1,Free for low volume,$0,8,~$0.50/M calls,$4,API Gateway
Security,Environment variables,Secrets,10,Free,$0,N/A,N/A,N/A,N/A,N/A,N/A,Local secrets
Security,Secret Manager,Active secrets,N/A,N/A,$0,10,~$0.06/secret,$0.60,20,~$0.06/secret,$1.20,Managed secrets
Security,Cloud KMS,Active keys,N/A,N/A,$0,3,~$1/key/mo,$3,5,~$1/key/mo,$5,Encryption keys
Security,Cloud DLP,Items scanned (K),N/A,N/A,$0,50,~$1/1K items,$50,400,~$1/1K items,$400,PHI detection scanning
Security,Cloud Armor,Policy,N/A,N/A,$0,1,~$5/mo,$5,2,~$5/mo,$10,WAF and DDoS protection
Observability,Docker logs,Logs,Unlimited,Free,$0,N/A,N/A,N/A,N/A,N/A,N/A,Container logs
Observability,Cloud Logging,Logs ingested GB,N/A,N/A,$0,20,~$0.50/GB,$10,100,~$0.50/GB,$50,Managed logging
Observability,Prometheus + Grafana,Metrics,Unlimited,Free,$0,Self-hosted,Free,$0,Self-hosted,Free,$0,Open source monitoring
Observability,Cloud Monitoring,Metrics,N/A,N/A,$0,50,~$2/metric,$100,200,~$2/metric,$400,Managed monitoring (optional)
Observability,Jaeger (Docker),Trace spans,Unlimited,Free,$0,N/A,N/A,N/A,N/A,N/A,N/A,Self-hosted tracing
Observability,Cloud Trace,Trace spans (M),N/A,N/A,$0,1,~$0.20/M spans,$0.20,8,~$0.20/M spans,$1.60,Managed tracing
CI/CD,Cloud Build,Build minutes,N/A,N/A,$0,500,Free (120 min/day),$0,1000,~$0.003/min (over free tier),$1.50,Automated builds
CI/CD,GitHub,Repository,1,Free,$0,1,Free,$0,1,Free,$0,Version control
Public APIs,RxNorm API,API calls,Unlimited,FREE,$0,Unlimited,FREE,$0,Unlimited,FREE,$0,NIH drug database
Public APIs,PubMed E-utilities,API calls,Unlimited,FREE,$0,Unlimited,FREE,$0,Unlimited,FREE,$0,NIH medical literature
Public APIs,UMLS API,API calls,Unlimited,FREE,$0,Unlimited,FREE,$0,Unlimited,FREE,$0,NIH medical coding
Public APIs,FDA Drug Label API,API calls,Unlimited,FREE,$0,Unlimited,FREE,$0,Unlimited,FREE,$0,FDA drug information
Infrastructure,OpenTofu,Execution,Unlimited,Free,$0,Unlimited,Free,$0,Unlimited,Free,$0,IaC provisioning
,,,,,,,,,,,,
Total Infrastructure,,,,,**$0**,,,**$356.45**,,,**$2003.70**,
Total LLM Costs (Variable),,,,,**$16.32**,,,**$150.65**,,,**$1171.40**,Token usage varies with activity
**Grand Total**,,,,,**~$16**,,,**~$507**,,,**~$3175**,
,,,,,,,,,,,,
Total (Rounded),,,,,**POC: ~$20-50/mo**,,,**MVP: ~$400-600/mo**,,,**Production: ~$3000-4000/mo**,LLM usage highly variable
Range Explanation,,,,,LLM API calls only,,,Optimized configuration,,,Full scale with HA,Add 20-30% buffer for spikes
Key Insight,,,,,**100% open source = $0 infrastructure**,,,**Managed services add reliability**,,,**Scales with usage**,POC validates before spending
